france,0
usa,1
belgium,2
mexico,3
uk,4
canada,5
hungary,6
china,7
spain,8
west germany,9
egypt,10
india,11
ireland,12
thailand,13
norway,14
australia,15
libya,16
aruba,17
cambodia,18
official site,19
colombia,20
kyrgyzstan,21
new zealand,22
finland,23
sweden,24
czech republic,25
turkey,26
bulgaria,27
switzerland,28
brazil,29
bahamas,30
japan,31
hong kong,32
soviet union,33
south africa,34
greece,35
chile,36
peru,37
iceland,38
georgia,39
dominican republic,40
iran,41
israel,42
south korea,43
panama,44
nigeria,45
romania,46
indonesia,47
germany,48
denmark,49
argentina,50
netherlands,51
poland,52
taiwan,53
italy,54
slovakia,55
nan,56
pakistan,57
russia,58
united arab emirates,59
new line,60
